stateID,dimRec,Sample,LogLik,LogLik_true,rankTrue,numTrials
d2s0,3,2916,-6257.6160251,-6260.0185262,1,100
d2s0,3,3025,-6490.5996783,-6493.0110341,1,100
d2s0,3,3136,-6727.8267751,-6730.241854,1,100
d2s0,3,3249,-6969.9745147,-6972.4492381,1,100
d2s0,3,3364,-7216.6089699,-7219.0745451,1,100
d2s0,3,3375,-7240.3429027,-7242.8275241,1,100
d2s0,3,3481,-7468.4843269,-7470.9783312,1,100
d2s0,3,3600,-7725.3360093,-7727.7932216,1,100
d2s0,3,3721,-7981.7877368,-7984.1842072,1,100
d2s0,3,3844,-8244.4759158,-8246.8641089,1,100
d2s0,3,3969,-8512.9741505,-8515.3562532,1,100
d2s0,3,4096,-8785.3885813,-8787.7714517,1,100
d2s0,3,4225,-9062.547603,-9064.9572227,1,100
d2s0,3,4356,-9342.9084833,-9345.3293259,1,100
d2s0,3,4489,-9629.1243437,-9631.5707429,1,100
d2s0,3,4624,-9917.9199607,-9920.2896873,1,100
d2s0,3,4761,-10209.7807117,-10212.0985785,1,100
d2s0,3,4900,-10509.1808322,-10511.4677193,1,100
d2s0,3,4913,-10536.8030142,-10539.0866955,1,100
d2s0,3,5041,-10809.4458441,-10811.7336504,1,100
d2s0,3,5184,-11116.064187,-11118.4248076,1,100
d2s0,3,5329,-11427.495164,-11429.9013664,1,100
d2s0,3,5476,-11743.5139226,-11745.8562439,1,100
d2s0,3,5625,-12062.8736454,-12065.2072986,1,100
d2s0,3,5776,-12385.8841854,-12388.2331273,1,100
d2s0,3,5832,-12506.2697106,-12508.6033233,1,100
d2s0,3,5929,-12714.0926293,-12716.4504624,1,100
d2s0,3,6084,-13045.0501718,-13047.3741958,1,100
d2s0,3,6241,-13380.964135,-13383.2697909,1,100
d2s0,3,6400,-13720.5208238,-13722.8339705,1,100
d2s0,3,6561,-14065.8965546,-14068.263071,1,100
d2s0,3,6724,-14416.7817708,-14419.1001302,1,100
d2s0,3,6859,-14707.1526473,-14709.4634181,1,100
d2s0,3,6889,-14771.7978806,-14774.0840492,1,100
d2s0,3,7056,-15130.6503699,-15132.9466922,1,100
d2s0,3,7225,-15492.4843289,-15494.792737,1,100
d2s0,3,7396,-15860.9662072,-15863.2605879,1,100
d2s0,3,7569,-16232.1189609,-16234.3909742,1,100
d2s0,3,7744,-16605.5045174,-16607.7510465,1,100
d2s0,3,7921,-16985.3005667,-16987.5628431,1,100
d2s0,3,8000,-17155.2000829,-17157.4887634,1,100
d2s0,3,8100,-17367.1774814,-17369.477093,1,100
d2s0,3,8281,-17754.0268964,-17756.3159144,1,100
